,ImagePath,Category
0,C:/Anaconda/image/train\0\0_10_1017_1001_61327239.jpg,0
1,C:/Anaconda/image/train\0\0_10_1018_1002_61327239.jpg,0
2,C:/Anaconda/image/train\0\0_10_1019_1003_61327239.jpg,0
3,C:/Anaconda/image/train\0\0_10_1020_1004_61327239.jpg,0
4,C:/Anaconda/image/train\0\0_10_1024_1008_61327239.jpg,0
5,C:/Anaconda/image/train\0\0_10_1025_1009_61327239.jpg,0
6,C:/Anaconda/image/train\0\0_10_20140722-00200001.jpg,0
7,C:/Anaconda/image/train\0\0_10_20140722-00200002.jpg,0
8,C:/Anaconda/image/train\0\0_11_1017_1001_61327239.jpg,0
9,C:/Anaconda/image/train\0\0_11_1018_1002_61327239.jpg,0
10,C:/Anaconda/image/train\0\0_11_1020_1004_61327239.jpg,0
11,C:/Anaconda/image/train\0\0_11_1022_1006_61327239.jpg,0
12,C:/Anaconda/image/train\0\0_11_1023_1007_61327239.jpg,0
13,C:/Anaconda/image/train\0\0_11_1024_1008_61327239.jpg,0
14,C:/Anaconda/image/train\0\0_11_1025_1009_61327239.jpg,0
15,C:/Anaconda/image/train\0\0_11_20140722-00200001.jpg,0
16,C:/Anaconda/image/train\0\0_11_20140722-00200002.jpg,0
17,C:/Anaconda/image/train\0\0_12_1017_1001_61327239.jpg,0
18,C:/Anaconda/image/train\0\0_12_1018_1002_61327239.jpg,0
19,C:/Anaconda/image/train\0\0_12_1019_1003_61327239.jpg,0
20,C:/Anaconda/image/train\0\0_12_1023_1007_61327239.jpg,0
21,C:/Anaconda/image/train\0\0_12_1024_1008_61327239.jpg,0
22,C:/Anaconda/image/train\0\0_12_1025_1009_61327239.jpg,0
23,C:/Anaconda/image/train\0\0_2_1018_1002_61327239.jpg,0
24,C:/Anaconda/image/train\0\0_2_1020_1004_61327239.jpg,0
25,C:/Anaconda/image/train\0\0_2_1021_1005_61327239.jpg,0
26,C:/Anaconda/image/train\0\0_2_1022_1006_61327239.jpg,0
27,C:/Anaconda/image/train\0\0_2_20140722-00200001.jpg,0
28,C:/Anaconda/image/train\0\0_2_20140722-00200002.jpg,0
29,C:/Anaconda/image/train\0\0_2_20140722-00200003.jpg,0
30,C:/Anaconda/image/train\0\0_2_20140722-00200004.jpg,0
31,C:/Anaconda/image/train\0\0_2_20140722-00200005.jpg,0
32,C:/Anaconda/image/train\0\0_2_20140722-00200006.jpg,0
33,C:/Anaconda/image/train\0\0_2_20140722-00200008.jpg,0
34,C:/Anaconda/image/train\0\0_2_20140722-00200010.jpg,0
35,C:/Anaconda/image/train\0\0_2_20140722-00200011.jpg,0
36,C:/Anaconda/image/train\0\0_2_20140722-00200012.jpg,0
37,C:/Anaconda/image/train\0\0_2_20140722-00200015.jpg,0
38,C:/Anaconda/image/train\0\0_2_20140722-00200017.jpg,0
39,C:/Anaconda/image/train\0\0_2_20140722-00200018.jpg,0
40,C:/Anaconda/image/train\0\0_2_20140722-00200019.jpg,0
41,C:/Anaconda/image/train\0\0_2_20140722-00200020.jpg,0
